pearson;similarity_type;matching;word_agg;sentence_agg;direction;power;index_weight;power_scope
0.5581819276304558;spath;one_to_many;max;avg;symmetric;power2;prime;global
0.5581819276304558;spath;one_to_many;max;min;symmetric;power2;prime;global
0.5544551931116485;spath;one_to_many;max;max;symmetric;power1;linear;local
0.5544551931116485;spath;one_to_many;max;avg;symmetric;power1;linear;local
0.5544551931116485;spath;one_to_many;max;min;symmetric;power1;linear;local
0.5544551931116485;spath;one_to_many;max;max;symmetric;power1;linear;global
0.5544551931116485;spath;one_to_many;max;avg;symmetric;power1;linear;global
0.5544551931116485;spath;one_to_many;max;min;symmetric;power1;linear;global
0.5531837536323632;spath;one_to_many;max;avg;symmetric;power1;none;local
0.5531837536323632;spath;one_to_many;max;avg;symmetric;power1;none;global
0.5525482909043293;spath;one_to_many;max;max;symmetric;power1;prime;local
0.5525482909043293;spath;one_to_many;max;avg;symmetric;power1;prime;local
0.5525482909043293;spath;one_to_many;max;min;symmetric;power1;prime;local
0.5525482909043293;spath;one_to_many;max;max;symmetric;power1;prime;global
0.5525482909043293;spath;one_to_many;max;avg;symmetric;power1;prime;global
0.5525482909043293;spath;one_to_many;max;min;symmetric;power1;prime;global
0.5517460156706953;wupalmer;one_to_many;max;max;symmetric;power2;linear;local
0.5517460156706953;wupalmer;one_to_many;max;avg;symmetric;power2;linear;local
0.5517460156706953;wupalmer;one_to_many;max;min;symmetric;power2;linear;local
0.5507773308247292;wupalmer;one_to_many;max;avg;symmetric;power2;none;local
0.5500496868714857;wupalmer;one_to_many;max;max;symmetric;power2;prime;local
0.5500496868714857;wupalmer;one_to_many;max;avg;symmetric;power2;prime;local
0.5500496868714857;wupalmer;one_to_many;max;min;symmetric;power2;prime;local
0.5476333370662424;wupalmer;one_to_many;max;avg;single;power7;none;local
0.5474213890809572;wupalmer;one_to_many;max;avg;single;power13;none;local
0.5455761376761351;spath;one_to_many;max;avg;single;power7;none;local
0.5454601439081589;spath;one_to_many;max;avg;single;power13;none;local
0.5454580298244631;wupalmer;one_to_many;max;avg;single;power101;none;local
0.5454580267870848;spath;one_to_many;max;avg;single;power101;none;local
0.5438530548556444;wupalmer;one_to_many;max;avg;symmetric;power2;none;global
0.5421984599808125;spath;one_to_many;max;max;symmetric;power2;exponential;global
0.5421984599808125;spath;one_to_many;max;avg;symmetric;power2;exponential;global
0.5421984599808125;spath;one_to_many;max;min;symmetric;power2;exponential;global
0.542048078155358;spath;one_to_many;max;avg;single;power2;none;local
0.5414329126760362;wupalmer;one_to_many;max;max;symmetric;power2;linear;global
0.5414329126760362;wupalmer;one_to_many;max;avg;symmetric;power2;linear;global
0.5414329126760362;wupalmer;one_to_many;max;min;symmetric;power2;linear;global
0.540587420395432;wupalmer;one_to_many;max;max;symmetric;power2;prime;global
0.540587420395432;wupalmer;one_to_many;max;avg;symmetric;power2;prime;global
0.540587420395432;wupalmer;one_to_many;max;min;symmetric;power2;prime;global
0.538362124975194;spath;one_to_many;max;max;symmetric;power1;exponential;local
0.538362124975194;spath;one_to_many;max;avg;symmetric;power1;exponential;local
0.538362124975194;spath;one_to_many;max;min;symmetric;power1;exponential;local
0.538362124975194;spath;one_to_many;max;max;symmetric;power1;exponential;global
0.538362124975194;spath;one_to_many;max;avg;symmetric;power1;exponential;global
0.538362124975194;spath;one_to_many;max;min;symmetric;power1;exponential;global
0.5364203066205009;wupalmer;one_to_many;max;max;symmetric;power2;exponential;local
0.5364203066205009;wupalmer;one_to_many;max;avg;symmetric;power2;exponential;local
0.5364203066205009;wupalmer;one_to_many;max;min;symmetric;power2;exponential;local
0.5355875844736249;wupalmer;one_to_many;max;max;single;power13;linear;local
0.5355875844736249;wupalmer;one_to_many;max;avg;single;power13;linear;local
0.5355875844736249;wupalmer;one_to_many;max;min;single;power13;linear;local
0.5354676720282506;wupalmer;one_to_many;max;max;single;power7;linear;local
0.5354676720282506;wupalmer;one_to_many;max;avg;single;power7;linear;local
0.5354676720282506;wupalmer;one_to_many;max;min;single;power7;linear;local
0.5342801058784763;spath;one_to_many;max;max;single;power7;linear;local
0.5342801058784763;spath;one_to_many;max;avg;single;power7;linear;local
0.5342801058784763;spath;one_to_many;max;min;single;power7;linear;local
0.5341977091409198;spath;one_to_many;max;max;single;power13;linear;local
0.5341977091409198;spath;one_to_many;max;avg;single;power13;linear;local
0.5341977091409198;spath;one_to_many;max;min;single;power13;linear;local
0.5341961896343688;wupalmer;one_to_many;max;max;single;power101;linear;local
0.5341961896343688;wupalmer;one_to_many;max;avg;single;power101;linear;local
0.5341961896343688;wupalmer;one_to_many;max;min;single;power101;linear;local
0.5341961874494209;spath;one_to_many;max;max;single;power101;linear;local
0.5341961874494209;spath;one_to_many;max;avg;single;power101;linear;local
0.5341961874494209;spath;one_to_many;max;min;single;power101;linear;local
0.5339678482793926;wupalmer;one_to_many;max;max;single;power13;prime;local
0.5339678482793926;wupalmer;one_to_many;max;avg;single;power13;prime;local
